empfname,emplname,hired,created,jobStatus,posID,deptID,swipid,phoneext,reptag,vmpass,companynumber,netid,netpass,emailid,emailpass,emailaddress,pandionid,pandionpass,stationID,notes
Aaron,Collins,2008-03-17 01:00:00,2012-07-14 00:00:00,inactive,0,0,12345,2226,CA226,1234,(425) 203-3900,acollins,x1088r0nc,aaronc,x1088r0nc,acollins@example.com,aaron.collins@chat.example.com,collinsa,0,used for csv
Robin,Carnahan,2012-07-14 00:00:00,2012-07-14 00:00:00,Active,0,0,12345,2633,CR633,1234,(425) 203-3900,rcarnahan,x10r0b1nc,robinc,x10r0b1nc,rcarnahan@example.com,robin.carnahan@chat.example.com,carnahanr,0,used for csv
Ruby,Kainber,2012-07-14 00:00:00,2012-07-14 00:00:00,Active,0,0,12345,2612,KR612,1234,(425) 203-3900,rkainber,x10rubyk,rubyk,x10rubyk,rkainber@example.com,ruby.kainber@chat.example.com,kainberr,0,used for csv
Tammra,Stanley,2012-07-14 00:00:00,2012-07-14 00:00:00,Active,0,0,12345,2666,ST666,1234,(425) 203-3900,tstanley,x10t8mmr85,tammras,x10t8mmr85,tstanley@example.com,tammra.stanley@chat.example.com,stanleyt,0,used for csv
Tina,Garcia,2012-07-14 00:00:00,2012-07-14 00:00:00,Active,0,0,12345,2635,GT635,1234,(425) 203-3900,tgarcia,x10t1n8g,tinag,x10t1n8g,tgarcia@example.com,tina.garcia@chat.example.com,garciat,0,used forjson
Tina,Bomgardner,2012-07-14 00:00:00,2012-07-14 00:00:00,Active,0,0,12345,2699,BT699,1234,(425) 203-3900,tbomgardner,x10t1n8b,tinab,x10t1n8b,tbomgardner@example.com,tina.bomgardner@chat.example.com,bomgardnert,0,used for json
Vanessa,Chan,2012-07-14 00:00:00,2012-07-14 00:00:00,inactive,0,0,12345,2622,CV622,1234,(425) 203-3900,vchan,x10v8n3558c,vanessac,x10v8n3558c,vchan@example.com,vanessa.chan@chat.example.com,chanv,0,used for json
Paul,Duran,2012-07-14 00:00:00,2012-07-14 00:00:00,inactive,0,0,12345,2619,DP619,1234,(425) 203-3900,pduran,x10p8uld,pauld,x10p8uld,pduran@example.com,paul.duran@chat.example.com,duranp,0,used for json
Thomas,Wright,2012-07-14 00:00:00,2012-07-14 00:00:00,Active,0,0,12345,2623,WT623,1234,(425) 203-3900,twright,x10th0m85w,thomasw,x10th0m85w,twright@example.com,thomas.wright@chat.example.com,wrightt,0,used for xml
Megan,Guardipee,2012-07-14 00:00:00,2012-07-14 00:00:00,inactive,0,0,12345,2627,GM627,1234,(425) 203-3900,mguardipee,x10m3g8ng,megang,x10m3g8ng,mguardipee@example.com,megan.guardipee@chat.example.com,guardipeem,0,used for xml
Rani,Duke,2012-07-14 00:00:00,2012-07-14 00:00:00,inactive,0,0,12345,2611,DR611,1234,(425) 203-3900,rduke,x10r8n1d,ranid,x10r8n1d,rduke@example.com,rani.duke@chat.example.com,duker,0,used for xml
Kirstie,Blanding,2012-07-14 00:00:00,2012-07-14 00:00:00,inactive,0,0,12345,2626,BK626,1234,(425) 203-3900,kblanding,x10k1r5t13b,kirstieb,x10k1r5t13b,kblanding@example.com,kirstie.blanding@chat.example.com,blandingk,0,used for xml
